client,city,status
ALMNOUGGAR LIVRES,AGADIR,OK
LIBRAIRIE EYROLLES  UM6P BENGUERIR,BENGUERIR,OK
LIBRAIRIE LIVRE SERVICE,CASABLANCA,OK
Livre Moi,CASABLANCA,OK
Librairie D.S.M.,CASABLANCA,OK
Librairie Khalsi,CASABLANCA,OK
PREFACE  L'AVENIR  DU  LIVRE,CASABLANCA,OK
STE  MAARIF  CULTURE,CASABLANCA,OK
LE KIOSQUE INTERACTIVE,CASABLANCA,OK
CARREFOUR DU LIVRE,CASABLANCA,OK
SITE QITAB,CASABLANCA,OK
LIBRAIRIE PORTE D'ANFA,CASABLANCA,EN  COURS DE LIVRAISON
LIBRAIRIE PARISIENNE,EL JADIDA,EN  COURS DE LIVRAISON
DAR ZAROUK,FES,EN  COURS DE LIVRAISON
LIBRAIRIE  PAP. CHATR  SARL,Marrakech,OK
DAR AL KITAB AL WATANI,MEKNES,EN COURS DE LIVRAISON
LIBRAIRIE DES ECOLES,MEKNES,EN COURS DE LIVRAISON
OUJDA LIBRAIRIE,OUJDA,EN COURS DE LIVRAISON
FESTIVAL DU  LIVRE,PARIS,OK
KALILA WA DIMNA,RABAT,OK
LIBRAIRIE  ALFIA,RABAT,OK
LIVRE SERVICE FRANCAIS,RABAT,OK
Livre Moi,RABAT,OK
Librairie Ibn  Yassine,RABAT,OK
PAPETERIE JOURNAUX BASTA SARL,RABAT,OK
LlBRAIRIE EYROLLES UM6P RABAT,RABAT,OK
LIBRAIR IE LES  INSOLITES SARL,TANGER,OK